HF             B3lyp
-0.341990     -0.244304
-0.241539     -0.206512
 0.088748      0.078832
-0.282996     -0.202311
 0.313608      0.302927
 0.012135     -0.035956
-0.136349     -0.127879
 0.355167      0.284327
-0.430581     -0.349719
 0.026878     -0.007325
-0.399152     -0.325330
 0.004278      0.093415
 0.185973      0.024253
-0.239049     -0.126765
 0.330181      0.259894
-0.438698     -0.362740
 0.358615      0.317454
-0.467146     -0.389195
-0.256288     -0.263185
 0.209117      0.123471
 0.313901      0.242589
-0.233564     -0.203766
 0.241990      0.206953
-0.432991     -0.357094
 0.032394      0.003496
 0.232137      0.193268
 0.221826      0.189310
 0.072121      0.080900
 0.072121      0.080900
 0.142869      0.132970
 0.142869      0.132970
 0.085726      0.089050
 0.085726      0.089050
 0.085726      0.089050
 0.213503      0.178322
 0.192719      0.185905
 0.093187      0.091626
 0.093187      0.091626
 0.248227      0.220909
 0.199927      0.168072
 0.081828      0.083514
 0.081828      0.083514
 0.081828      0.083514
