system,layer,Q3Q2,Q2Q1,Q1Q4,Q4Q3
Propeller,top,1.3296843812852974,1.1899211990009555,0.7870855269326654,0.6086536031966052
Propeller,mid,0.4471332474139921,0.46102431819414297,1.4341470461860124,0.5470569333096545
Propeller,bot,1.6341774364518928,1.2623647288425526,0.7740211464109843,0.6833317406619221
Basket,top,0.402714507567412,0.32445013917499305,0.2939268510563977,0.37830966633699137
Basket,mid,0.14827172933512728,0.1803542136851975,0.15349810340371642,0.2559726453726915
Basket,bot,0.6595214811214815,0.9204139303406943,0.42163727445061167,0.21518318590867416
Chair,top,0.1986742753330021,0.1363022272480455,0.6207229738807504,0.11653022375437885
Chair,mid,0.24306296764972243,0.17179710535790982,0.3081074205689454,0.25511162234167445
Chair,bot,0.5249745408161399,1.176056268554169,0.75238402041862,0.4996890581982369
Hybrid-I,top,0.43231367976503865,0.22800759414933094,0.3300712256889076,0.49594221577976594
Hybrid-I,mid,0.3546728174859898,0.23678023129325323,0.4668543110997238,0.17845664434483446
Hybrid-I,bot,0.3521839603632377,0.6152346998853221,0.13156386290288766,0.263893961930308
Hybrid-II,top,0.4169570374533463,0.2664624426935775,0.9886556825103174,0.8207078227847693
Hybrid-II,mid,0.13725483454240542,0.2531326266196374,0.741567864010759,0.41219861693883264
Hybrid-II,bot,0.20799230046829512,0.7589399513957354,0.4306196734280435,1.1173627571702538
Basket-Na,top,1.2262884663327869,1.8387224776684057,1.423487171522468,0.6785186109716825
Basket-Na,mid,1.5222590860501157,0.7667604393048031,1.1840403896150529,2.726310581469051
Basket-Na,bot,1.389500835428213,2.4469322701572356,0.6701496083947067,1.0706699928430616
Hybrid-II-wtTel26,top,0.1639493453699105,0.0837938327731743,0.41447904425755333,0.20655988217281104
Hybrid-II-wtTel26,mid,0.6765690201237624,0.3692964951207625,0.21207263680674068,0.3260281804284401
Hybrid-II-wtTel26,bot,0.3671439269791753,0.14412279806141914,0.19566770936727165,0.18998806868508883
Propeller-POH,top,0.34364698853658415,0.5976507062134427,0.7491785620042882,0.33992797616592707
Propeller-POH,mid,1.0282982230066318,0.825556686670093,0.5465074115917435,0.5363052852811239
Propeller-POH,bot,0.5186260693469683,0.9561221248864438,1.5175707188896141,0.9426239123700308
Propeller-EWV,top,0.8993078382138161,0.9204854988160877,0.4319943174983637,1.4953854200797159
Propeller-EWV,mid,1.2579715283199362,0.8514258251363205,1.0380518547115916,0.4906197131945945
Propeller-EWV,bot,0.8093331806803339,0.9510678583238401,0.5489759580013045,0.5240063871480288
Hybrid-II-wtTel26-EWV,top,0.29738718862140023,0.5207046180494667,1.5727193489015632,0.30309598950223526
Hybrid-II-wtTel26-EWV,mid,1.0013023141490163,1.109775137578258,1.0473284623551535,1.528279301348836
Hybrid-II-wtTel26-EWV,bot,3.7901872654672273,2.739013849497886,2.204517534022053,2.7716406534565903
Hybrid-II-wtTel26-POH,top,0.38786560156758676,0.5182417954125534,0.6385267876089085,0.3684110376479224
Hybrid-II-wtTel26-POH,mid,1.5479118982512556,0.8611333600750029,0.8271899530509076,1.4712612987599456
Hybrid-II-wtTel26-POH,bot,3.572753684972817,3.179484422447146,2.9175664874281093,3.241900692825401
