system,layer,Q3,Q2,Q1,Q4
Propeller,top,4.370715789473685,3.9667,3.9321587719298243,4.166756140350877
Propeller,bot,4.318544736842106,4.220536842105264,3.8975184210526326,3.781749999999999
Basket,top,5.918905263157894,1.2864736842105267,3.6493543859649122,3.14954649122807
Basket,bot,3.949084210526315,5.38835701754386,4.406925438596491,3.0505921052631577
Chair,top,5.546451754385965,3.8326324561403506,5.915784210526316,4.024970175438597
Chair,bot,4.700183333333333,1.5949605263157896,4.5769438596491225,2.5660157894736844
Hybrid-I,top,4.741021929824562,6.1409973684210515,2.547664035087719,4.171928947368421
Hybrid-I,bot,4.614768421052632,4.9795105263157895,4.545209649122808,3.9919543859649123
Hybrid-II,top,5.658320175438597,2.7825938596491224,5.009351754385965,4.223118421052631
Hybrid-II,bot,4.805878070175439,2.693241228070175,5.271804385964912,4.8271456140350875
Basket-Na,top,3.8913745614035085,0.266,1.1752500000000001,1.7086947368421055
Basket-Na,bot,1.1384140350877194,2.209837719298246,2.9141438596491223,1.8791429824561403
Hybrid-II-wtTel26,top,6.563878947368421,2.9767578947368425,7.633297368421053,5.686959649122807
Hybrid-II-wtTel26,bot,5.606300877192981,3.2401008771929827,6.396724561403509,4.101970175438597
Propeller-POH,top,4.005958771929824,4.679571052631579,5.044530701754385,4.373714035087719
Propeller-POH,bot,4.332471929824561,4.111835087719299,4.304522807017543,4.179430701754386
Propeller-EWV,top,3.968441228070175,4.62671754385965,4.555665789473684,4.177842105263158
Propeller-EWV,bot,4.073525438596492,4.802437719298246,4.372176315789473,4.263183333333333
Hybrid-II-wtTel26-EWV,top,5.855606140350878,6.045071929824561,6.196691228070175,4.385417543859648
Hybrid-II-wtTel26-EWV,bot,2.2473912280701756,1.6276842105263156,2.17149298245614,2.222986842105263
Hybrid-II-wtTel26-POH,top,6.493693859649123,5.679216666666666,5.817795614035089,5.016380701754385
Hybrid-II-wtTel26-POH,bot,2.8051728070175437,1.783837719298245,2.2821175438596493,2.1869464912280705
