system,layer,Q3,Q2,Q1,Q4
Propeller,top,4.903723684210526,4.974221929824562,4.715169298245614,4.935279824561403
Propeller,bot,4.99161052631579,4.765407017543859,4.480663157894736,4.413452631578948
Basket,top,6.71831754385965,4.559036842105264,5.358988596491228,4.685343859649122
Basket,bot,5.028267543859649,6.92584298245614,4.818336842105264,4.7669657894736845
Chair,top,5.595059649122807,4.439946491228071,5.952362280701754,4.595065789473684
Chair,bot,5.3368745614035085,2.774543859649123,5.498276315789473,3.3178859649122803
Hybrid-I,top,6.045437719298246,6.7951298245614025,3.652844736842105,4.879131578947368
Hybrid-I,bot,5.251733333333334,6.514273684210527,5.755864035087719,4.521574561403509
Hybrid-II,top,5.815009649122808,3.648072807017544,5.602826315789474,4.548720175438596
Hybrid-II,bot,5.053221052631578,3.8687263157894733,5.882564912280701,5.368951754385964
Basket-Na,top,4.771685087719298,1.3404912280701755,2.2642824561403514,2.071863157894737
Basket-Na,bot,2.1145921052631578,2.8616692982456144,3.732538596491228,2.741382456140351
Hybrid-II-wtTel26,top,6.816390350877192,3.521731578947368,7.89128947368421,5.686959649122808
Hybrid-II-wtTel26,bot,5.725002631578947,4.509801754385965,7.048769298245615,4.78258596491228
Propeller-POH,top,4.623202631578947,5.303294736842106,6.001466666666667,5.114645614035088
Propeller-POH,bot,4.642855263157895,5.012120175438597,5.473790350877192,4.571650877192982
Propeller-EWV,top,4.613434210526317,5.365594736842105,4.706282456140351,4.773072807017543
Propeller-EWV,bot,5.2779263157894745,5.199201754385965,5.006893859649122,4.884443859649122
Hybrid-II-wtTel26-EWV,top,6.565525438596492,6.673824561403509,6.792528070175439,5.246943859649123
Hybrid-II-wtTel26-EWV,bot,5.601267543859648,3.1747210526315794,5.134707894736842,4.172229824561404
Hybrid-II-wtTel26-POH,top,6.972349122807018,6.051449122807017,6.004997368421052,6.514925438596491
Hybrid-II-wtTel26-POH,bot,4.432289473684211,2.557206140350877,3.426852631578947,3.0070517543859654
