system,layer,Q3,Q2,Q1,Q4
Propeller,top,0.2781418825073695,0.39214830976538945,0.3280367375526871,0.24896951299618889
Propeller,bot,0.3202286055561547,0.2862389311881689,0.5835249022184887,0.5139117140276281
Basket,top,0.3243715388051327,0.07131820675455085,0.1502073927223958,0.15728188812664848
Basket,bot,0.6087596397815525,0.28366043103190025,0.16833249957333143,0.07479578522002209
Chair,top,0.20326651648795033,0.12051402452500075,0.12114228669515432,0.3350207836089689
Chair,bot,0.35003904482390896,0.16622536095247825,0.34237216440171514,0.6355216430704119
Hybrid-I,top,0.24626616560667053,0.1595666249122915,0.21126594682035238,0.3035884089226132
Hybrid-I,bot,0.18594074929890322,0.12720859124096148,0.12433572871734204,0.2502984822390581
Hybrid-II,top,0.27635100860344325,0.20723741076378546,0.8442578543285911,0.5732239319581752
Hybrid-II,bot,0.2083210903108255,0.22472764925244848,0.23454212853313827,0.19837915599216518
Basket-Na,top,1.6910584533921793,0.31323782710132647,1.0443634640148687,1.7995115888046862
Basket-Na,bot,0.892320038454052,0.8320661427932163,0.631957661967037,0.4687431848826649
Hybrid-II-wtTel26,top,0.2884726387330276,0.1280030401317717,0.3185324783459427,0.16974168394653652
Hybrid-II-wtTel26,bot,0.20283811442322183,0.14363009249948275,0.24618095775666377,0.13697559388569147
Propeller-POH,top,0.4510190389882555,0.31817243577031573,0.19121395071069944,0.2725292736718796
Propeller-POH,bot,0.21249091513278898,0.5473830582279859,0.24987729588805158,0.3419895197866809
Propeller-EWV,top,0.4519382115724142,0.600814102493742,0.43352000439674143,0.1684207147027962
Propeller-EWV,bot,0.35715963277360446,0.3338093520001814,0.6997211053829865,0.31392429107141634
Hybrid-II-wtTel26-EWV,top,0.21448949657803812,0.6765119768462633,0.2379333169479217,0.2641202480232338
Hybrid-II-wtTel26-EWV,bot,0.16626485400720648,0.09938967136417717,0.19888790908478318,0.3153855127027983
Hybrid-II-wtTel26-POH,top,0.40352476044283614,1.4661385377629155,0.46105832843290967,0.42152623928927213
Hybrid-II-wtTel26-POH,bot,0.6007894664782241,0.4030476392837002,0.24837106452570562,0.5710382617172244
