system,layer,Q3,Q2,Q1,Q4
Propeller,top,0.30735497610565377,0.4332670825086706,0.35464363134706894,0.4104715833752801
Propeller,bot,0.46582238694521455,0.30013913272218945,0.42290966060896173,0.6811241586402812
Basket,top,0.30978627586152147,0.19764051428854124,0.18335354577574406,0.1666749168523335
Basket,bot,0.5136656335303887,0.30301553093043804,0.14586126585181364,0.09977162540944241
Chair,top,0.2042707675885811,0.136639580827566,0.12410356647242693,0.21726535877983644
Chair,bot,0.506535459874367,0.14917746104234691,0.497253071244008,0.16278494213122222
Hybrid-I,top,0.184640532132676,0.1989628556266303,0.2865059373403177,0.39652350512952944
Hybrid-I,bot,0.2790121493327999,0.42707776134814335,0.13819691971687806,0.21604774416384132
Hybrid-II,top,0.26950128640498955,0.2204743954515072,0.27116808487847555,0.35947875877678215
Hybrid-II,bot,0.22166347351098217,0.10360130134016765,0.35661209291268564,0.2545842816188157
Basket-Na,top,2.1493478156311694,1.6733882984680044,1.6607724245718687,2.347367400622561
Basket-Na,bot,2.2416477946842153,1.1310850155015195,0.38813722603763784,0.3100931923081422
Hybrid-II-wtTel26,top,0.3150243830125894,0.10774239552305984,0.3763952977400468,0.16974168394653644
Hybrid-II-wtTel26,bot,0.2728338799663724,0.12033494136797955,0.36654309316085143,0.11775202604521001
Propeller-POH,top,0.6776948586405797,0.31531377019480755,0.5001087547464792,0.4175158973406447
Propeller-POH,bot,0.17222504469484973,0.8849648375448079,0.34811947215354466,0.28824959324940447
Propeller-EWV,top,0.4587328895276343,0.48592980266588753,0.4257300941923646,0.2975308423275263
Propeller-EWV,bot,0.15011320535957812,0.2685529550910008,0.6196178376705952,0.7262636097449953
Hybrid-II-wtTel26-EWV,top,0.3796687281415931,0.8817582502732542,0.2859996636800145,0.3932100082170509
Hybrid-II-wtTel26-EWV,bot,1.7709791696852522,0.7096851676528717,0.9946831715374328,1.4471428151448207
Hybrid-II-wtTel26-POH,top,0.5598573694704949,1.3148375204680878,0.31907378975809225,0.2684103419154591
Hybrid-II-wtTel26-POH,bot,0.7816017257673802,0.6402991535889647,0.6841841743432118,0.4185809866361519
