system,metal,layer,Q3,Q2,Q1,Q4
Propeller,K1,top,0.8309310287279709,2.635314194601662,1.5447558443883387,1.8052784982051582
Propeller,K1,mid,1.9147923753355807,1.8292318977139104,3.315621771763452,1.4234637634885239
Propeller,K2,mid,1.8887938767143044,1.0150517180958598,1.5425892869416453,1.5899560321810806
Propeller,K2,bot,0.6507122740253571,1.3416511007705503,2.1979911753463854,2.0861983325814197
Basket,K1,top,0.7402274529529849,0.5680436461898047,0.5021908080210337,0.7592594932752931
Basket,K1,mid,0.653052128660904,0.6106890724553488,0.6596043136049944,0.0
Basket,K2,mid,0.3095065631478256,0.6931959075173701,0.4003617042987576,0.4973787689724617
Basket,K2,bot,0.9981552875823757,1.1532230067908864,2.2600087481588176,1.0344117936160284
Chair,K1,top,0.5779210200698676,0.6302808327473195,0.7874938497485633,0.5237900571570718
Chair,K1,mid,0.44989888519597904,0.37092871109345293,1.013209896452362,0.3562424351099956
Chair,K2,mid,1.4880403747745101,2.339027130932809,4.673461081374574,1.016684493545173
Chair,K2,bot,4.258255909056846,0.7623869606940145,0.0,1.131868436034519
Hybrid-I,K1,top,1.0061578962097664,0.3407927351104973,1.256355795533559,1.2519167878434294
Hybrid-I,K1,mid,1.4690684081341407,1.4493365725080414,1.0814136247691062,1.0681980471037462
Hybrid-I,K2,mid,1.0896301290209331,1.0552781804198246,0.32901292372277446,0.0761889725102245
Hybrid-I,K2,bot,0.5162964311278181,0.6342129756012981,0.874605363304198,1.3150860240023525
Hybrid-II,K1,top,2.294665732183261,0.5305358092097091,0.892359527432094,1.5854767059429538
Hybrid-II,K1,mid,0.4129057943051419,0.07743888856374624,1.6294011139963043,0.8066533313744783
Hybrid-II,K2,mid,1.9227939732958106,0.0,0.8895133384599949,0.7047122539985184
Hybrid-II,K2,bot,2.0588964760008914,0.32650138416191954,2.5171174809423373,1.8174694760823986
Basket-Na,K1,top,4.791249552902367,0.0,0.0,6.094479350707395
Basket-Na,K1,mid,8.147829787827156,4.2568999873476825,9.592563298740899,6.593275360831117
Basket-Na,K2,mid,0.0,0.3873784256748981,0.5077745552382165,0.44906103051011564
Basket-Na,K2,bot,4.17140246611005,5.33290694632741,4.350353643102878,4.651895607206903
Hybrid-II-wtTel26,K1,top,0.3604833950803491,0.30352531142947986,0.22915916976573147,0.29523797993368284
Hybrid-II-wtTel26,K1,mid,1.3216608617823453,0.0,1.2670725768825237,0.26767368936189495
Hybrid-II-wtTel26,K2,mid,1.4146640663162109,0.0,1.543866105778963,0.0
Hybrid-II-wtTel26,K2,bot,0.5556667869057637,0.4930130103973449,0.37781962968207383,0.4143013273971505
Propeller-POH,K1,top,2.429487693896662,1.0538471086552605,1.4185210242357462,0.666506242276959
Propeller-POH,K1,mid,1.5476492777436963,3.223375088464833,2.121863831428117,0.9082753182503035
Propeller-POH,K2,mid,2.0262101155888597,1.675269106182244,2.3155415459316795,0.8495286265394132
Propeller-POH,K2,bot,1.7926614165333858,2.207218944324992,1.8841890156111478,3.278406577362123
Propeller-EWV,K1,top,2.175362205345226,1.4472221026860124,1.0988105091815057,2.2164680926753615
Propeller-EWV,K1,mid,1.885963439380086,3.959144540596281,2.5504377605670596,2.8505882132501124
Propeller-EWV,K2,mid,1.4253431146579842,1.0072573892152168,1.3026479695276925,0.9467698044570174
Propeller-EWV,K2,bot,0.9636349569688707,3.374778435664268,1.7196850728620519,1.9899717718177758
Hybrid-II-wtTel26-EWV,K1,top,1.3921585503028335,1.64648338567331,0.6390633739359755,0.8162010546657159
Hybrid-II-wtTel26-EWV,K1,mid,4.199382671736908,2.3469596219152526,4.062500520788091,4.342081727171726
Hybrid-II-wtTel26-EWV,K2,mid,0.0,0.016082042944326382,0.0,0.251121953668004
Hybrid-II-wtTel26-EWV,K2,bot,3.1213972826602565,7.288544763250511,2.7327159522269335,5.243894109560252
Hybrid-II-wtTel26-POH,K1,top,2.2789520885936287,2.5315138681237603,1.5996979567610559,0.9156090627497488
Hybrid-II-wtTel26-POH,K1,mid,1.773905179876586,2.2906821551847547,1.0022332321557827,0.9579895553338016
Hybrid-II-wtTel26-POH,K2,mid,0.04212072873863515,0.029938753270108306,0.0,0.0
Hybrid-II-wtTel26-POH,K2,bot,4.075101642365995,7.805123495027583,3.498863987285083,5.832304186960739
